exchange,tradingsymbol,yahoo_symbol
BSE,08AGG,08AGG.BO
BSE,08GPG,08GPG.BO
BSE,08MPD,08MPD.BO
BSE,11AGG,11AGG.BO
BSE,11AMD,11AMD.BO
BSE,11AQD,11AQD.BO
BSE,11DPD,11DPD.BO
BSE,11DPR,11DPR.BO
BSE,11GPG,11GPG.BO
BSE,11MPD,11MPD.BO
BSE,11MPR,11MPR.BO
BSE,11QPD,11QPD.BO
BSE,11QPR,11QPR.BO
BSE,1STCUS,1STCUS.BO
BSE,20MICRONS,20MICRONS.BO
BSE,21STCENMGM,21STCENMGM.BO
BSE,360ONE,360ONE.BO
BSE,3BBLACKBIO,3BBLACKBIO.BO
BSE,3BFILMS,3BFILMS.BO
BSE,3CIT,3CIT.BO
BSE,3IINFOLTD,3IINFOLTD.BO
BSE,3MINDIA,3MINDIA.BO
BSE,3PLAND,3PLAND.BO
BSE,5PAISA,5PAISA.BO
BSE,63MOONS,63MOONS.BO
BSE,7NR,7NR.BO
BSE,7SEASL,7SEASL.BO
BSE,7TEC,7TEC.BO
BSE,A1L,A1L.BO
BSE,A2ZINFRA,A2ZINFRA.BO
BSE,AAATECH,AAATECH.BO
BSE,AADHARHFC,AADHARHFC.BO
BSE,AAIL,AAIL.BO
BSE,AANCHALISP,AANCHALISP.BO
BSE,AAPLUSTRAD,AAPLUSTRAD.BO
BSE,AARCON,AARCON.BO
BSE,AAREYDRUGS,AAREYDRUGS.BO
BSE,AARNAV,AARNAV.BO
BSE,AARSHYAM,AARSHYAM.BO
BSE,AARTECH,AARTECH.BO
BSE,AARTIDRUGS,AARTIDRUGS.BO
BSE,AARTIIND,AARTIIND.BO
BSE,AARTIPHARM,AARTIPHARM.BO
BSE,AARTISURF,AARTISURF.BO
BSE,AARVI,AARVI.BO
BSE,AASHKA,AASHKA.BO
BSE,AASTAFIN,AASTAFIN.BO
BSE,AASTHA,AASTHA.BO
BSE,AAVAS,AAVAS.BO
BSE,AAYUSH,AAYUSH.BO
BSE,AAYUSHBULL,AAYUSHBULL.BO
BSE,ABAN,ABAN.BO
BSE,ABANSENT,ABANSENT.BO
BSE,ABATEAS,ABATEAS.BO
BSE,ABB,ABB.BO
BSE,ABBOTINDIA,ABBOTINDIA.BO
BSE,ABCAPITAL,ABCAPITAL.BO
BSE,ABCINDQ,ABCINDQ.BO
BSE,ABCOTS,ABCOTS.BO
BSE,ABDL,ABDL.BO
BSE,ABFRL,ABFRL.BO
BSE,ABHICAP,ABHICAP.BO
BSE,ABHIFIN,ABHIFIN.BO
BSE,ABHIINFRA,ABHIINFRA.BO
BSE,ABINFRA,ABINFRA.BO
BSE,ABIRAFN,ABIRAFN.BO
BSE,ABLBL,ABLBL.BO
BSE,ABMKNO,ABMKNO.BO
BSE,ABREL,ABREL.BO
BSE,ABRFL,ABRFL.BO
BSE,ABRIL,ABRIL.BO
BSE,ABSL10BANK,ABSL10BANK.BO
BSE,ABSLAMC,ABSLAMC.BO
BSE,ABSLBANETF,ABSLBANETF.BO
BSE,ABSLMSCIN,ABSLMSCIN.BO
BSE,ABSLNN50ET,ABSLNN50ET.BO
BSE,ABSLPSE,ABSLPSE.BO
BSE,ABVL,ABVL.BO
BSE,ACC,ACC.BO
BSE,ACCEDERE,ACCEDERE.BO
BSE,ACCEL,ACCEL.BO
BSE,ACCELYA,ACCELYA.BO
BSE,ACCORDTS,ACCORDTS.BO
BSE,ACCURACY,ACCURACY.BO
